study,source,Inst,dbase,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_requested,hcp_variable_upload,specialty_code,requested_python
,REDCap,,hcpa,psqi1,,,,psqi01,psqip1,,,,,,,,psqi1,,
,REDCap,,hcpa,psqi2,,,,psqi01,psqip2,,,,,,,,psqi2,,
,REDCap,,hcpa,psqi3,,,,psqi01,psqip3,,,,,,,Please rename this column 'psqip3' to avoid a naming conflict.,psqip3,,studydata['psqip3']=studydata['psqi3']
,REDCap,,hcpa,psqi4,,,,psqi01,psqip4,,,,,,,Please enter number of hours as a decimal; Please rename this column 'psqip4' to avoid a naming conflict.,psqip4,,"studydata['psqip4']=studydata['psqi4']; studydata.psqip4=pd.to_numeric(studydata.psqip4,errors='coerce')"
,REDCap,,hcpa,psqi5a,,,,psqi01,psqip6a_1,,,,,,,Please increment 0::3 scale to 1::4.,psqi5a,,"psqi5a=pd.to_numeric(studydata.psqi5a,errors='coerce')+1; studydata.psqi5a=psqi5a.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5b,,,,psqi01,psqip6a_2,,,,,,,Please increment 0::3 scale to 1::4.,psqi5b,,"psqi5b=pd.to_numeric(studydata.psqi5b,errors='coerce')+1; studydata.psqi5b=psqi5b.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5c,,,,psqi01,psqip6a_3,,,,,,,Please increment 0::3 scale to 1::4.,psqi5c,,"psqi5c=pd.to_numeric(studydata.psqi5c,errors='coerce')+1; studydata.psqi5c=psqi5c.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5d,,,,psqi01,psqip6a_4,,,,,,,Please increment 0::3 scale to 1::4.,psqi5d,,"psqi5d=pd.to_numeric(studydata.psqi5d,errors='coerce')+1; studydata.psqi5d=psqi5d.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5e,,,,psqi01,psqip6a_5,,,,,,,Please increment 0::3 scale to 1::4.,psqi5e,,"psqi5e=pd.to_numeric(studydata.psqi5e,errors='coerce')+1; studydata.psqi5e=psqi5e.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5f,,,,psqi01,psqip6b_1,,,,,,,Please increment 0::3 scale to 1::4.,psqi5f,,"psqi5f=pd.to_numeric(studydata.psqi5f,errors='coerce')+1; studydata.psqi5f=psqi5f.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5g,,,,psqi01,psqip6b_2,,,,,,,Please increment 0::3 scale to 1::4.,psqi5g,,"psqi5g=pd.to_numeric(studydata.psqi5g,errors='coerce')+1; studydata.psqi5g=psqi5g.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5h,,,,psqi01,psqip6b_3,,,,,,,Please increment 0::3 scale to 1::4.,psqi5h,,"psqi5h=pd.to_numeric(studydata.psqi5h,errors='coerce')+1; studydata.psqi5h=psqi5h.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5i,,,,psqi01,psqip6b_4,,,,,,,Please increment 0::3 scale to 1::4.,psqi5i,,"psqi5i=pd.to_numeric(studydata.psqi5i,errors='coerce')+1; studydata.psqi5i=psqi5i.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi5j,,,,psqi01,psqi5jalt,,,,,,,Please rename this column 'psqi5jalt' to avoid a naming conflict.,psqi5jalt,,studydata['psqi5jalt']=studydata['psqi5j']
,REDCap,,hcpa,psqi5j_1,,,,psqi01,psqi5j_1,,,,,,,,psqi5j_1,,
,REDCap,,hcpa,psqi5j_2,,,,psqi01,psqi5j_2,,,,,,,,psqi5j_2,,
,REDCap,,hcpa,psqi6,,,,psqi01,psqpi8,,,,,,,,psqi6,,
,REDCap,,hcpa,psqi7,,,,psqi01,psqpi7_1,,,,,,,Please increment 0::3 scale to 1::4.,psqi7,,"psqi7=pd.to_numeric(studydata.psqi7,errors='coerce')+1; studydata.psqi7=psqi7.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi8,,,,psqi01,psqpi7_2,,,,,,,Please increment 0::3 scale to 1::4.,psqi8,,"psqi5i=pd.to_numeric(studydata.psqi5i,errors='coerce')+1; studydata.psqi5i=psqi5i.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,psqi9,,,,psqi01,psqi_9,,,,,,,,psqi9,,
,REDCap,,hcpa,psqi10,,,,psqi01,parent_sleep20,,,,,,,Please rename this column 'parent_sleep20' to avoid a naming conflict.,parent_sleep20,,studydata['parent_sleep20']=studydata['psqi10']
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_tc,,,,ravlt01,pea_ravlt_sd_tc,,,,,,,,pea_ravlt_sd_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,delay_completion,,,,ravlt01,delay_completion,,,,,,,,delay_completion,,"ravlt.loc[ravlt.delay_completion>1800,'delay_completion']=''"
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,discontinue,,,,ravlt01,discontinue,,,,,,,,discontinue,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,reverse,,,,ravlt01,reverse,,,,,,,,reverse,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_i_tc,,,,ravlt01,pea_ravlt_sd_trial_i_tc,,,,,,,,pea_ravlt_sd_trial_i_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_ii_tc,,,,ravlt01,pea_ravlt_sd_trial_ii_tc,,,,,,,,pea_ravlt_sd_trial_ii_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_iii_tc,,,,ravlt01,pea_ravlt_sd_trial_iii_tc,,,,,,,,pea_ravlt_sd_trial_iii_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_iv_tc,,,,ravlt01,pea_ravlt_sd_trial_iv_tc,,,,,,,,pea_ravlt_sd_trial_iv_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_v_tc,,,,ravlt01,pea_ravlt_sd_trial_v_tc,,,,,,,,pea_ravlt_sd_trial_v_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_listb_tc,,,,ravlt01,pea_ravlt_sd_listb_tc,,,,,,,,pea_ravlt_sd_listb_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,pea_ravlt_sd_trial_vi_tc,,,,ravlt01,pea_ravlt_sd_trial_vi_tc,,,,,,,,pea_ravlt_sd_trial_vi_tc,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,delay_recall_intrusion,,,,ravlt01,delay_recall_intrusion,,,,,,,,delay_recall_intrusion,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,delay_total_intrusion,,,,ravlt01,delay_total_intrusion,,,,,,,,delay_total_intrusion,,
,box.wustl.edu,Behavioral Data - Snapshots/Q/Q_RAVLT_Snapshot_*.csv,5.61127E+11,delay_total_repetitions,,,,ravlt01,delay_total_repetitions,,,,,,,,delay_total_repetitions,,
,REDCap,,hcpa,ipaq1,,,,ipaq01,No NDA equivalent - Please withhold this column,,,,,,,"Please withhold this column, but add the code of 0 to the count of days in the companion column (still indicates the activity was not done).",,,
,REDCap,,hcpa,ipaq1days,,,,ipaq01,ipaq2,,,,,,,,ipaq1days,,"studydata.loc[studydata.ipaq1=='0','ipaq1days']=0"
,REDCap,,hcpa,ipaq2hrs,,,,ipaq01,ipaq3a,,,,,,,,ipaq2hrs,,
,REDCap,,hcpa,ipaq2mins,,,,ipaq01,ipaq3b,,,,,,,,ipaq2mins,,
,REDCap,,hcpa,ipaq3,,,,ipaq01,No NDA equivalent - Please withhold this column,,,,,,,"Please withhold this column, but add the code of 0 to the count of days in the companion column (still indicates the activity was not done).",,,
,REDCap,,hcpa,ipaq3days,,,,ipaq01,ipaq4,,,,,,,,ipaq3days,,"studydata.loc[studydata.ipaq3=='0','ipaq3days']=0"
,REDCap,,hcpa,ipaq4hrs,,,,ipaq01,ipaq5a,,,,,,,,ipaq4hrs,,
,REDCap,,hcpa,ipaq4mins,,,,ipaq01,ipaq5b,,,,,,,,ipaq4mins,,
,REDCap,,hcpa,ipaq5,,,,ipaq01,No NDA equivalent - Please withhold this column,,,,,,,"Please withhold this column, but add the code of 0 to the count of days in the companion column (still indicates the activity was not done).",,,
,REDCap,,hcpa,ipaq5days,,,,ipaq01,ipaq6,,,,,,,,ipaq5days,,"studydata.loc[studydata.ipaq5=='0','ipaq5days']=0"
,REDCap,,hcpa,ipaq6hrs,,,,ipaq01,ipaq7a,,,,,,,,ipaq6hrs,,
,REDCap,,hcpa,ipaq6mins,,,,ipaq01,ipaq7b,,,,,,,,ipaq6mins,,
,REDCap,,hcpa,ipaq7,,,,ipaq01,No NDA equivalent - Please withhold this column,,,,,,,"Please withhold this column, but add the code of 0 to the count of days in the companion column (still indicates the activity was not done).",,,
,REDCap,,hcpa,ipaq7hrs,,,,ipaq01,ipaq26a,,,,,,,,ipaq7hrs,,"studydata.loc[studydata.ipaq7=='0','ipaq7days']=0"
,REDCap,,hcpa,ipaq7mins,,,,ipaq01,ipaq26a,,,,,,,,ipaq7mins,,
,REDCap,,hcpa,cb1_1a,,,,facename01,cb1_1a,,,,,,,,cb1_1a,,
,REDCap,,hcpa,cb1_1a_other,,,,facename01,cb1_1a_other,,,,,,,,cb1_1a_other,,
,REDCap,,hcpa,cb1_2a,,,,facename01,cb1_2a,,,,,,,,cb1_2a,,
,REDCap,,hcpa,cb1_2a_other,,,,facename01,cb1_2a_other,,,,,,,,cb1_2a_other,,
,REDCap,,hcpa,cb1_3a,,,,facename01,cb1_3a,,,,,,,,cb1_3a,,
,REDCap,,hcpa,cb1_3a_other,,,,facename01,cb1_3a_other,,,,,,,,cb1_3a_other,,
,REDCap,,hcpa,cb1_4a,,,,facename01,cb1_4a,,,,,,,,cb1_4a,,
,REDCap,,hcpa,cb1_4a_other,,,,facename01,cb1_4a_other,,,,,,,,cb1_4a_other,,
,REDCap,,hcpa,cb1_5a,,,,facename01,cb1_5a,,,,,,,,cb1_5a,,
,REDCap,,hcpa,cb1_5a_other,,,,facename01,cb1_5a_other,,,,,,,,cb1_5a_other,,
,REDCap,,hcpa,cb1_6a,,,,facename01,cb1_6a,,,,,,,,cb1_6a,,
,REDCap,,hcpa,cb1_6a_other,,,,facename01,cb1_6a_other,,,,,,,,cb1_6a_other,,
,REDCap,,hcpa,cb1_7a,,,,facename01,cb1_7a,,,,,,,,cb1_7a,,
,REDCap,,hcpa,cb1_7a_other,,,,facename01,cb1_7a_other,,,,,,,,cb1_7a_other,,
,REDCap,,hcpa,cb1_8a,,,,facename01,cb1_8a,,,,,,,,cb1_8a,,
,REDCap,,hcpa,cb1_8a_other,,,,facename01,cb1_8a_other,,,,,,,,cb1_8a_other,,
,REDCap,,hcpa,cb1_9a,,,,facename01,cb1_9a,,,,,,,,cb1_9a,,
